Name,Pstng Date,Weekly_Period,transaction_count,transaction_flow_mean,transaction_flow_total
ID10,2025-01-02,2025-01-W1,36,-87.71987583333333,-3157.91553
ID10,2025-01-03,2025-01-W1,15,-41.142732,-617.14098
ID10,2025-01-04,2025-01-W1,44,-757.6332479545455,-33335.86291
ID10,2025-01-05,2025-01-W1,2,-7.30905,-14.6181
ID10,2025-01-06,2025-01-W2,39,-526.3286697435898,-20526.818120000004
ID10,2025-01-09,2025-01-W2,4,-582.336615,-2329.34646
ID10,2025-01-10,2025-01-W2,15,-870.8911393333334,-13063.367090000002
ID10,2025-01-11,2025-01-W2,109,-64.21771559633028,-6999.731
ID10,2025-01-12,2025-01-W2,4,-34.990134999999995,-139.96053999999998
ID10,2025-01-13,2025-01-W3,239,-147.65678184100418,-35289.97086
ID10,2025-01-16,2025-01-W3,8,-144.181395,-1153.45116
ID10,2025-01-17,2025-01-W3,132,-139.11516,-18363.20112
ID10,2025-01-18,2025-01-W3,167,-35.318865089820356,-5898.25047
ID10,2025-01-19,2025-01-W3,79,997.9873982278482,78841.00446000001
ID10,2025-01-20,2025-01-W4,87,-681.5794677011494,-59297.41369
ID10,2025-01-24,2025-01-W4,53,197.71949188679244,10479.13307
ID10,2025-01-25,2025-01-W4,145,-2486.3421264827584,-360519.60834
ID10,2025-01-26,2025-01-W4,64,-101.00986656250001,-6464.6314600000005
ID10,2025-01-27,2025-02-W1,68,-31.88803926470588,-2168.38667
ID10,2025-01-30,2025-02-W1,29,15333.32863724138,444666.53048
ID10,2025-01-31,2025-02-W1,52,-31.660751538461536,-1646.35908
ID10,2025-02-01,2025-02-W1,88,-322.9620718181818,-28420.66232
ID10,2025-02-02,2025-02-W1,36,53.377523611111116,1921.59085
ID10,2025-02-03,2025-02-W2,128,-293.267539609375,-37538.24507
ID10,2025-02-06,2025-02-W2,15,-528.460434,-7926.906509999999
ID10,2025-02-07,2025-02-W2,5,-667.07583,-3335.37915
ID10,2025-02-08,2025-02-W2,175,-236.7627937142857,-41433.4889
ID10,2025-02-09,2025-02-W2,51,-257.1973382352941,-13117.06425
